Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
First BanCorp,FBP.N,FBP,16777.0,FIRST BANCORP/NC
M&T Bank Corp,MTB.N,MTBX,4699.0,M&T BANK CORP
Pinnacle Bancshares Inc,PCLB.PK,PCLB,16829.0,PINNACLE BANCSHARES
First Financial Bancorp,FFBC.OQ,FFBC,162557.0,UNITED FINANCIAL BANCORP INC
First of Long Island Corp,FLIC.OQ^F25,CNOBF,18307.0,FIRST LONG ISLAND CORP
First Merchants Corp,FRME.OQ,FRME,16845.0,FIRST MERCHANTS CORP
First Midwest Bancorp Inc,FMBI.OQ^B22,ONBFI,11896.0,FIRST MIDWEST BANCORP INC
US Bancorp,USB.N,USB,4723.0,US BANCORP
Amerigo Resources Ltd,ARG.TO,ARG,118441.0,AMERIGO RESOURCES LTD
1st Source Corp,SRCE.OQ,SRCE,15199.0,1ST SOURCE CORP
First Horizon Corp,FHN.N,FHN,4737.0,FIRST HORIZON CORP
Fiserv Inc,FISV.OQ,FISV,12635.0,FISERV INC
Flanigan's Enterprises Inc,BDL.A,BDL,4759.0,FLANIGANS ENTERPRISES INC
PolyMet Mining Corp,POM.TO^K23,,106486.0,POLYMET MINING CORP
Flexsteel Industries Inc,FLXS.OQ,FLXS,4771.0,FLEXSTEEL INDUSTRIES INC
Community West Bancshares,CWBC.OQ,CWBC,63224.0,COMMUNITY WEST BANCSHARES
Flowers Foods Inc,FLO.N,FLO,4809.0,FLOWERS FOODS INC
Fluor Corp,FLR.N,FLR,4818.0,FLUOR CORP
Fonar Corp,FONR.OQ,FONR,4826.0,FONAR CORP
Ford Motor Co,F.N,F,4839.0,FORD MOTOR CO
Forest City Enterprises Inc,FCEa^A16,ATAOLI,,
Forest Laboratories Inc,FRX.N^G14,AGNSAF,61759.0,CORE LABORATORIES INC
Sabine Oil & Gas Corp,SOGCQ.PK^H16,OSGASE,184262.0,SABINE OIL & GAS CORP
FNX Mining Company Inc,FNX.TO^E10,KGHFTI,106503.0,FORAN MINING CORP
Fortis Inc,FTS.TO,FTS,14390.0,FORTIS INC
CorVel Corp,CRVL.OQ,CRVL,24225.0,CORVEL CORP
Lundin Gold Inc,LUG.TO,LUG,65744.0,LUNDIN GOLD INC
L B Foster Co,FSTR.OQ,FSTR,4860.0,FOSTER (LB) CO
Franklin Electric Co Inc,FELE.OQ,FELE,4881.0,FRANKLIN ELECTRIC CO INC
Franklin Resources Inc,BEN.N,BEN,4885.0,FRANKLIN RESOURCES INC
AAR Corp,AIR.N,AIRX,1004.0,AAR CORP
CommScope Connectivity LLC,ADCT.OQ^L10,VISNCM,,
Franklin Wireless Corp,FKWL.OQ,FKWL,14112.0,FRANKLIN WIRELESS CORP
Franklin Universal Trust,FT.N,FT,15377.0,FRANKLIN UNIVERSAL TRUST
ADM Tronics Unlimited Inc,ADMT.PK,ADMT,21116.0,ADM TRONICS UNLIMITED INC/DE
AEP Industries Inc,AEPI.OQ^A17,AMCOAD,11903.0,AEP INDUSTRIES INC
AGF Management Ltd,AGFb.TO,AGFX,61955.0,AGF MANAGEMENT LTD  -CL B
AES Corp,AES.N,AES,24216.0,AES CORP (THE)
Frequency Electronics Inc,FEIM.OQ,FEIM,4900.0,FREQUENCY ELECTRONICS INC
Friedman Industries Inc,FRD.OQ,FRD,4903.0,FRIEDMAN INDUSTRIES INC
H.B. Fuller Company,FUL.N,FUL,4926.0,FULLER (H. B.) CO
Fulton Financial Corp,FULT.OQ,FULT,14172.0,FULTON FINANCIAL CORP
White Mountains Insurance Group Ltd,WTM.N,WTM,,
